Order_Date,Time,Customer_Id,Product_Category,Product,Sales,Quantity,Order_Priority
02/01/2018,10:56:33,37077,Auto & Accessories,Car Media Players,140,1,Medium
24/07/2018,20:41:37,59173,Auto & Accessories,Car Speakers,211,1,Medium
08/11/2018,08:38:49,41066,Auto & Accessories,Car Body Covers,117,5,Critical
18/04/2018,19:28:06,50741,Auto & Accessories,Car & Bike Care,118,1,High
13/08/2018,21:18:39,53639,Auto & Accessories,Tyre,250,1,Critical
09/07/2018,21:57:05,39783,Auto & Accessories,Bike Tyres,72,1,Critical
16/05/2018,13:10:30,26767,Auto & Accessories,Car Mat,54,1,High
23/06/2018,18:29:09,20719,Auto & Accessories,Car Seat Covers,114,5,Critical
29/07/2018,11:55:02,46947,Auto & Accessories,Car Pillow & Neck Rest,231,5,Critical
16/05/2018,19:41:10,31839,Auto & Accessories,Car Media Players,140,1,Critical
13/07/2018,19:58:11,22249,Auto & Accessories,Car Speakers,211,4,Critical
07/10/2018,10:06:19,15109,Auto & Accessories,Car Body Covers,117,4,High
25/07/2018,17:44:10,18622,Auto & Accessories,Car & Bike Care,118,1,Critical
01/12/2018,14:14:28,56296,Auto & Accessories,Tyre,250,1,High
07/10/2018,19:03:12,34138,Auto & Accessories,Bike Tyres,72,4,Medium
02/06/2018,19:00:43,51112,Auto & Accessories,Car Mat,54,1,Critical
26/03/2018,23:41:31,57057,Auto & Accessories,Car Seat Covers,114,1,High
21/04/2018,00:03:41,50942,Auto & Accessories,Car Pillow & Neck Rest,231,5,High
26/01/2018,15:54:26,42384,Auto & Accessories,Car Media Players,140,1,Critical
18/02/2018,14:31:30,26127,Auto & Accessories,Car Speakers,211,1,Critical
15/12/2018,08:52:40,14449,Auto & Accessories,Car Body Covers,117,5,Critical
03/08/2018,20:37:35,16823,Auto & Accessories,Car & Bike Care,118,1,High
08/06/2018,07:55:29,15976,Auto & Accessories,Tyre,250,4,High
09/11/2018,11:44:40,51542,Auto & Accessories,Bike Tyres,72,4,Critical
20/08/2018,23:46:53,42676,Auto & Accessories,Car Mat,54,1,High
04/10/2018,00:00:13,56593,Auto & Accessories,Car Seat Covers,114,4,Critical
12/12/2018,01:50:26,37689,Auto & Accessories,Car Pillow & Neck Rest,231,1,Critical
02/05/2018,11:45:38,26058,Auto & Accessories,Car Media Players,140,1,High
25/08/2018,13:50:30,38941,Auto & Accessories,Car Speakers,211,1,Medium
10/11/2018,11:58:33,19919,Auto & Accessories,Car Body Covers,117,1,High
16/09/2018,21:15:39,56625,Auto & Accessories,Car & Bike Care,118,1,Critical
12/03/2018,13:56:04,33501,Auto & Accessories,Tyre,250,1,Medium
03/08/2018,12:38:58,40865,Auto & Accessories,Bike Tyres,72,4,High
29/07/2018,23:34:51,38256,Auto & Accessories,Car Mat,54,4,Critical
17/08/2018,15:59:46,14567,Auto & Accessories,Car Seat Covers,114,4,High
21/08/2018,18:15:12,38178,Auto & Accessories,Car Pillow & Neck Rest,231,1,High
30/07/2018,21:37:10,24153,Auto & Accessories,Car Media Players,140,5,Medium
01/10/2018,12:23:13,27385,Auto & Accessories,Car Speakers,211,4,Critical
26/12/2018,17:12:18,44937,Auto & Accessories,Car Body Covers,117,1,High
19/05/2018,18:53:40,38490,Auto & Accessories,Car & Bike Care,118,5,Critical
24/04/2018,21:27:48,30549,Auto & Accessories,Tyre,250,5,Critical
04/11/2018,17:10:39,50606,Auto & Accessories,Bike Tyres,72,5,Critical
04/11/2018,23:25:30,42084,Auto & Accessories,Car Mat,54,5,High
18/05/2018,13:55:47,52161,Auto & Accessories,Car Seat Covers,114,4,Critical
14/05/2018,20:28:25,32218,Auto & Accessories,Car Pillow & Neck Rest,231,4,High
17/05/2018,16:59:11,36491,Auto & Accessories,Car Media Players,140,1,Critical
29/07/2018,11:24:17,12227,Auto & Accessories,Car Speakers,211,1,Critical
